iteration,distance,num_mutants,cns_ref_diff,cns_sabin_diff,num_medaka_variants
polio_testing_1,0.001,1,2,1,3
polio_testing_1,0.002,2,2,0,4
polio_testing_1,0.003,3,4,1,3
polio_testing_1,0.004,4,5,1,6
polio_testing_1,0.005,5,5,0,7
polio_testing_1,0.006,6,8,2,8
polio_testing_1,0.007,7,7,0,9
polio_testing_1,0.008,8,9,1,10
polio_testing_1,0.009,9,9,0,11
polio_testing_1,0.01,11,11,0,13
polio_testing_1,0.02,22,22,0,23
polio_testing_1,0.03,33,33,0,35
polio_testing_1,0.04,44,45,1,44
polio_testing_1,0.05,55,55,0,75
polio_testing_1,0.06,66,65,1,132
polio_testing_1,0.07,77,76,1,114
polio_testing_1,0.08,88,87,1,81
polio_testing_1,0.09,99,99,6,91
polio_testing_1,0.1,110,109,1,179
polio_testing_1,0.11,121,119,2,114
polio_testing_1,0.12,132,131,3,119
polio_testing_1,0.13,143,143,2,176
polio_testing_1,0.14,154,156,3,147
polio_testing_1,0.15,166,166,5,149
polio_testing_1,0.16,177,179,6,161
polio_testing_1,0.17,188,187,8,169
polio_testing_1,0.18,199,199,9,265
polio_testing_1,0.19,210,0,0,0
polio_testing_1,0.2,221,0,0,0
polio_testing_1,0.21,232,0,0,184
polio_testing_1,0.22,243,243,19,176
polio_testing_1,0.23,254,0,0,0
polio_testing_1,0.24,265,0,0,0
polio_testing_1,0.25,276,0,0,0
polio_testing_1,0.26,287,0,0,0
polio_testing_1,0.27,298,0,0,0
polio_testing_1,0.28,309,0,0,0
polio_testing_1,0.29,321,0,0,0
polio_testing_1,0.3,332,0,0,0
polio_testing_1,0.31,343,0,0,0
polio_testing_1,0.32,354,0,0,0
polio_testing_1,0.33,365,0,0,0
polio_testing_1,0.34,376,0,0,0
polio_testing_1,0.35,387,0,0,0
polio_testing_2,0.001,1,1,0,3
polio_testing_2,0.002,2,2,0,4
polio_testing_2,0.003,3,3,0,3
polio_testing_2,0.004,4,4,0,6
polio_testing_2,0.005,5,5,0,7
polio_testing_2,0.006,6,6,0,8
polio_testing_2,0.007,7,7,0,7
polio_testing_2,0.008,8,10,2,8
polio_testing_2,0.009,9,9,0,9
polio_testing_2,0.01,11,11,0,13
polio_testing_2,0.02,22,22,0,24
polio_testing_2,0.03,33,33,0,36
polio_testing_2,0.04,44,44,0,46
polio_testing_2,0.05,55,55,1,56
polio_testing_2,0.06,66,68,2,91
polio_testing_2,0.07,77,77,0,97
polio_testing_2,0.08,88,88,0,77
polio_testing_2,0.09,99,100,6,144
polio_testing_2,0.1,110,111,1,148
polio_testing_2,0.11,121,122,2,108
polio_testing_2,0.12,132,132,0,122
polio_testing_2,0.13,143,144,3,129
polio_testing_2,0.14,154,157,7,144
polio_testing_2,0.15,166,163,5,153
polio_testing_2,0.16,177,175,5,154
polio_testing_2,0.17,188,192,10,174
polio_testing_2,0.18,199,196,14,165
polio_testing_2,0.19,210,215,18,198
polio_testing_2,0.2,221,0,0,199
polio_testing_2,0.21,232,0,0,0
polio_testing_2,0.22,243,0,0,0
polio_testing_2,0.23,254,0,0,0
polio_testing_2,0.24,265,0,0,0
polio_testing_2,0.25,276,0,0,0
polio_testing_2,0.26,287,0,0,0
polio_testing_2,0.27,298,0,0,0
polio_testing_2,0.28,309,0,0,0
polio_testing_2,0.29,321,0,0,0
polio_testing_2,0.3,332,0,0,0
polio_testing_2,0.31,343,0,0,0
polio_testing_2,0.32,354,0,0,0
polio_testing_2,0.33,365,0,0,0
polio_testing_2,0.34,376,0,0,0
polio_testing_2,0.35,387,0,0,0
polio_testing_3,0.001,1,1,0,1
polio_testing_3,0.002,2,2,0,2
polio_testing_3,0.003,3,3,0,3
polio_testing_3,0.004,4,4,0,4
polio_testing_3,0.005,5,5,0,6
polio_testing_3,0.006,6,7,2,5
polio_testing_3,0.007,7,7,0,7
polio_testing_3,0.008,8,8,0,8
polio_testing_3,0.009,9,9,0,10
polio_testing_3,0.01,11,11,0,11
polio_testing_3,0.02,22,22,0,22
polio_testing_3,0.03,33,33,0,33
polio_testing_3,0.04,44,45,1,114
polio_testing_3,0.05,55,56,2,109
polio_testing_3,0.06,66,67,1,100
polio_testing_3,0.07,77,77,0,145
polio_testing_3,0.08,88,88,0,97
polio_testing_3,0.09,99,98,1,184
polio_testing_3,0.1,110,105,8,124
polio_testing_3,0.11,121,120,1,118
polio_testing_3,0.12,132,133,5,127
polio_testing_3,0.13,143,148,12,127
polio_testing_3,0.14,154,164,12,144
polio_testing_3,0.15,166,0,0,149
polio_testing_3,0.16,177,178,1,218
polio_testing_3,0.17,188,188,0,152
polio_testing_3,0.18,199,0,0,139
polio_testing_3,0.19,210,0,0,126
polio_testing_3,0.2,221,231,35,174
polio_testing_3,0.21,232,0,0,0
polio_testing_3,0.22,243,255,26,194
polio_testing_3,0.23,254,0,0,0
polio_testing_3,0.24,265,0,0,153
polio_testing_3,0.25,276,0,0,0
polio_testing_3,0.26,287,0,0,0
polio_testing_3,0.27,298,0,0,0
polio_testing_3,0.28,309,0,0,0
polio_testing_3,0.29,321,0,0,0
polio_testing_3,0.3,332,0,0,0
polio_testing_3,0.31,343,0,0,0
polio_testing_3,0.32,354,0,0,0
polio_testing_3,0.33,365,0,0,0
polio_testing_3,0.34,376,0,0,0
polio_testing_3,0.35,387,0,0,0
polio_testing_4,0.001,1,3,2,1
polio_testing_4,0.002,2,2,0,2
polio_testing_4,0.003,3,3,0,5
polio_testing_4,0.004,4,4,0,6
polio_testing_4,0.005,5,7,2,7
polio_testing_4,0.006,6,8,2,8
polio_testing_4,0.007,7,7,0,9
polio_testing_4,0.008,8,9,1,9
polio_testing_4,0.009,9,11,2,11
polio_testing_4,0.01,11,11,0,13
polio_testing_4,0.02,22,22,0,27
polio_testing_4,0.03,33,32,1,51
polio_testing_4,0.04,44,45,1,45
polio_testing_4,0.05,55,56,1,55
polio_testing_4,0.06,66,66,2,112
polio_testing_4,0.07,77,77,0,73
polio_testing_4,0.08,88,88,0,103
polio_testing_4,0.09,99,103,3,106
polio_testing_4,0.1,110,112,5,160
polio_testing_4,0.11,121,121,1,118
polio_testing_4,0.12,132,132,0,125
polio_testing_4,0.13,143,144,6,134
polio_testing_4,0.14,154,153,3,141
polio_testing_4,0.15,166,165,7,154
polio_testing_4,0.16,177,178,4,153
polio_testing_4,0.17,188,0,0,0
polio_testing_4,0.18,199,209,23,172
polio_testing_4,0.19,210,0,0,0
polio_testing_4,0.2,221,0,0,0
polio_testing_4,0.21,232,0,0,0
polio_testing_4,0.22,243,0,0,200
polio_testing_4,0.23,254,265,36,191
polio_testing_4,0.24,265,0,0,0
polio_testing_4,0.25,276,0,0,0
polio_testing_4,0.26,287,0,0,0
polio_testing_4,0.27,298,0,0,0
polio_testing_4,0.28,309,0,0,0
polio_testing_4,0.29,321,0,0,0
polio_testing_4,0.3,332,0,0,0
polio_testing_4,0.31,343,0,0,0
polio_testing_4,0.32,354,0,0,0
polio_testing_4,0.33,365,0,0,0
polio_testing_4,0.34,376,0,0,0
polio_testing_4,0.35,387,0,0,0
polio_testing_5,0.001,1,2,1,3
polio_testing_5,0.002,2,3,1,4
polio_testing_5,0.003,3,4,1,5
polio_testing_5,0.004,4,5,1,6
polio_testing_5,0.005,5,6,1,7
polio_testing_5,0.006,6,7,1,8
polio_testing_5,0.007,7,8,1,9
polio_testing_5,0.008,8,9,1,10
polio_testing_5,0.009,9,10,1,11
polio_testing_5,0.01,11,12,1,13
polio_testing_5,0.02,22,22,0,23
polio_testing_5,0.03,33,34,1,34
polio_testing_5,0.04,44,45,1,45
polio_testing_5,0.05,55,56,1,66
polio_testing_5,0.06,66,67,1,100
polio_testing_5,0.07,77,75,2,140
polio_testing_5,0.08,88,87,2,160
polio_testing_5,0.09,99,99,1,138
polio_testing_5,0.1,110,111,1,218
polio_testing_5,0.11,121,122,2,116
polio_testing_5,0.12,132,134,2,139
polio_testing_5,0.13,143,143,4,128
polio_testing_5,0.14,154,152,4,139
polio_testing_5,0.15,166,170,15,153
polio_testing_5,0.16,177,182,16,162
polio_testing_5,0.17,188,188,3,156
polio_testing_5,0.18,199,201,8,184
polio_testing_5,0.19,210,204,14,179
polio_testing_5,0.2,221,0,0,164
