iteration,coverage,num_mutants,cns_ref_diff,cns_sabin_diff,num_medaka_variants
polio_testing_1,100,110,109,1,105
polio_testing_1,150,110,110,3,140
polio_testing_1,200,110,109,1,179
polio_testing_1,250,110,109,1,104
polio_testing_1,300,110,110,3,168
polio_testing_1,350,110,109,2,108
polio_testing_1,400,110,110,2,206
polio_testing_1,500,110,110,2,147
polio_testing_1,600,110,109,1,152
polio_testing_1,700,110,109,2,102
polio_testing_1,800,110,110,3,105
polio_testing_1,900,110,112,5,105
polio_testing_1,1000,110,109,1,159
polio_testing_1,1100,110,111,2,106
polio_testing_1,1200,110,109,1,170
polio_testing_1,1300,110,109,1,160
polio_testing_1,1400,110,111,3,104
polio_testing_1,1500,110,109,1,105
polio_testing_1,2000,110,110,2,103
polio_testing_2,100,110,110,0,102
polio_testing_2,150,110,113,3,105
polio_testing_2,200,110,111,1,148
polio_testing_2,250,110,110,2,103
polio_testing_2,300,110,112,2,179
polio_testing_2,350,110,110,1,136
polio_testing_2,400,110,110,0,166
polio_testing_2,500,110,111,1,105
polio_testing_2,600,110,112,2,130
polio_testing_2,700,110,111,2,106
polio_testing_2,800,110,112,2,152
polio_testing_2,900,110,111,1,156
polio_testing_2,1000,110,111,1,125
polio_testing_2,1100,110,110,0,158
polio_testing_2,1200,110,110,0,158
polio_testing_2,1300,110,112,2,160
polio_testing_2,1400,110,113,3,180
polio_testing_2,1500,110,111,1,162
polio_testing_2,2000,110,111,1,171
polio_testing_3,100,110,111,9,100
polio_testing_3,150,110,105,9,101
polio_testing_3,200,110,105,8,124
polio_testing_3,250,110,102,9,132
polio_testing_3,300,110,103,10,121
polio_testing_3,350,110,105,10,169
polio_testing_3,400,110,104,7,103
polio_testing_3,500,110,189,108,171
polio_testing_3,600,110,104,9,176
polio_testing_3,700,110,106,6,170
polio_testing_3,800,110,103,8,184
polio_testing_3,900,110,104,9,168
polio_testing_3,1000,110,105,10,188
polio_testing_3,1100,110,106,13,131
polio_testing_3,1200,110,102,10,162
polio_testing_3,1300,110,106,6,150
polio_testing_3,1400,110,104,10,147
polio_testing_3,1500,110,106,4,151
polio_testing_3,2000,110,104,9,137
polio_testing_4,100,110,111,6,118
polio_testing_4,150,110,114,7,101
polio_testing_4,200,110,112,5,160
polio_testing_4,250,110,111,5,132
polio_testing_4,300,110,110,4,106
polio_testing_4,350,110,112,3,127
polio_testing_4,400,110,109,1,100
polio_testing_4,500,110,110,2,143
polio_testing_4,600,110,111,3,102
polio_testing_4,700,110,111,4,141
polio_testing_4,800,110,109,1,155
polio_testing_4,900,110,110,2,107
polio_testing_4,1000,110,113,5,102
polio_testing_4,1100,110,153,50,155
polio_testing_4,1200,110,110,2,146
polio_testing_4,1300,110,109,1,185
polio_testing_4,1400,110,108,2,147
polio_testing_4,1500,110,110,2,152
polio_testing_4,2000,110,112,4,123
polio_testing_5,100,110,114,4,106
polio_testing_5,150,110,112,2,107
polio_testing_5,200,110,111,1,218
polio_testing_5,250,110,110,0,104
polio_testing_5,300,110,112,2,169
polio_testing_5,350,110,110,0,188
polio_testing_5,400,110,110,0,109
polio_testing_5,500,110,110,0,115
polio_testing_5,600,110,111,1,108
polio_testing_5,700,110,110,0,161
polio_testing_5,800,110,111,2,156
polio_testing_5,900,110,110,0,138
polio_testing_5,1000,110,110,0,142
polio_testing_5,1100,110,111,1,108
polio_testing_5,1200,110,110,0,142
polio_testing_5,1300,110,111,1,154
polio_testing_5,1400,110,111,1,153
polio_testing_5,1500,110,112,3,112
polio_testing_5,2000,110,111,1,113
polio_testing_6,100,110,109,1,101
polio_testing_6,150,110,109,2,164
polio_testing_6,200,110,109,2,103
polio_testing_6,250,110,110,0,102
polio_testing_6,300,110,111,1,102
polio_testing_6,350,110,109,1,169
polio_testing_6,400,110,113,6,180
polio_testing_6,500,110,110,2,168
polio_testing_6,600,110,111,3,167
polio_testing_6,700,110,109,1,102
polio_testing_6,800,110,109,1,187
polio_testing_6,900,110,110,2,150
polio_testing_6,1000,110,109,1,201
polio_testing_6,1100,110,110,2,104
polio_testing_6,1200,110,110,3,103
polio_testing_6,1300,110,109,2,184
polio_testing_6,1400,110,111,3,103
polio_testing_6,1500,110,110,3,116
polio_testing_6,2000,110,112,3,184
polio_testing_7,100,110,110,4,99
polio_testing_7,150,110,107,3,97
polio_testing_7,200,110,107,5,207
polio_testing_7,250,110,109,5,101
polio_testing_7,300,110,106,5,104
polio_testing_7,350,110,108,4,101
polio_testing_7,400,110,108,2,102
polio_testing_7,500,110,108,2,147
polio_testing_7,600,110,108,3,187
polio_testing_7,700,110,109,1,151
polio_testing_7,800,110,110,2,191
