iteration,coverage,num_mutants,cns_ref_snp,cns_ref_gaps,cns_sabin_snp,cns_sabin_gaps,num_medaka_variants
real_sabin_1,25,11,11,1,0,1,26
real_sabin_1,50,11,11,2,0,2,15
real_sabin_1,100,11,11,1,0,1,0
real_sabin_1,150,11,11,2,0,2,11
real_sabin_1,200,11,11,1,0,1,0
real_sabin_1,250,11,11,2,0,2,0
real_sabin_1,300,11,11,2,0,2,0
real_sabin_1,350,11,11,2,0,2,0
real_sabin_1,400,11,11,3,0,3,0
real_sabin_1,500,11,11,2,0,2,0
real_sabin_1,600,11,11,1,0,1,0
real_sabin_1,700,11,11,2,0,2,0
real_sabin_1,800,11,11,3,0,3,0
real_sabin_1,900,11,11,2,0,2,0
real_sabin_1,1000,11,11,1,0,1,0
real_sabin_1,1100,11,11,2,0,2,0
real_sabin_1,1200,11,11,2,0,2,0
real_sabin_1,1300,11,11,1,0,1,0
real_sabin_1,1400,11,11,1,0,1,0
real_sabin_1,1500,11,11,2,0,2,0
real_sabin_2,25,11,12,9,4,9,10
real_sabin_2,50,11,10,8,0,8,12
real_sabin_2,100,11,9,5,0,5,10
real_sabin_2,150,11,10,5,0,5,10
real_sabin_2,200,11,10,5,0,5,10
real_sabin_2,250,11,10,3,1,3,10
real_sabin_2,300,11,9,2,1,2,10
real_sabin_2,350,11,10,4,0,4,10
real_sabin_2,400,11,9,3,1,3,11
real_sabin_2,500,11,10,3,1,3,10
real_sabin_2,600,11,10,1,1,1,10
real_sabin_2,700,11,10,2,1,2,10
real_sabin_2,800,11,9,2,1,2,10
real_sabin_2,900,11,10,4,0,4,10
real_sabin_2,1000,11,10,2,1,2,10
real_sabin_2,1100,11,9,2,1,2,10
real_sabin_2,1200,11,10,2,1,2,10
real_sabin_2,1300,11,10,2,1,2,10
real_sabin_2,1400,11,10,1,1,1,10
real_sabin_2,1500,11,10,2,1,2,10
real_sabin_3,25,11,11,4,0,4,14
real_sabin_3,50,11,13,2,2,2,52
real_sabin_3,100,11,11,2,0,2,15
real_sabin_3,150,11,11,1,0,1,11
real_sabin_3,200,11,11,2,0,2,0
real_sabin_3,250,11,11,3,0,3,12
real_sabin_3,300,11,11,2,0,2,11
real_sabin_3,350,11,11,3,0,3,11
real_sabin_3,400,11,11,2,0,2,11
real_sabin_3,500,11,11,1,0,1,11
real_sabin_3,600,11,11,2,0,2,0
real_sabin_3,700,11,11,2,0,2,0
real_sabin_3,800,11,11,3,0,3,0
real_sabin_3,900,11,11,2,0,2,0
real_sabin_3,1000,11,11,2,0,2,11
real_sabin_3,1100,11,11,1,0,1,11
real_sabin_3,1200,11,11,2,0,2,0
real_sabin_3,1300,11,11,2,0,2,0
real_sabin_3,1400,11,11,2,0,2,11
real_sabin_3,1500,11,11,2,0,2,12
real_sabin_4,25,11,11,3,0,3,14
real_sabin_4,50,11,11,3,0,3,12
real_sabin_4,100,11,11,4,0,4,13
real_sabin_4,150,11,11,4,0,4,11
real_sabin_4,200,11,11,2,0,2,11
real_sabin_4,250,11,11,3,0,3,11
real_sabin_4,300,11,11,2,0,2,11
real_sabin_4,350,11,11,3,0,3,11
real_sabin_4,400,11,11,2,0,2,11
real_sabin_4,500,11,11,2,0,2,11
real_sabin_4,600,11,11,3,0,3,11
real_sabin_4,700,11,11,2,0,2,11
real_sabin_4,800,11,11,2,0,2,11
real_sabin_4,900,11,11,3,0,3,11
real_sabin_4,1000,11,11,2,0,2,11
real_sabin_4,1100,11,11,2,0,2,12
