iteration,coverage,num_mutants,location,mut_type,count_gaps,count_var
polio_testing_1,100,11,999,gap,1,0
polio_testing_1,300,11,567,SNP,0,1
polio_testing_1,350,11,756,SNP,0,6
polio_testing_1,350,11,757,SNP,0,6
polio_testing_1,350,11,758,SNP,0,6
polio_testing_1,350,11,759,SNP,0,6
polio_testing_1,350,11,760,SNP,0,6
polio_testing_1,350,11,761,SNP,0,6
polio_testing_1,600,11,1007,SNP,2,1
polio_testing_1,600,11,500,gap,2,1
polio_testing_1,600,11,1002,gap,2,1
polio_testing_1,800,11,995,SNP,5,1
polio_testing_1,800,11,266,gap,5,1
polio_testing_1,800,11,959,gap,5,1
polio_testing_1,800,11,997,gap,5,1
polio_testing_1,800,11,998,gap,5,1
polio_testing_1,800,11,999,gap,5,1
polio_testing_1,900,11,567,SNP,0,1
polio_testing_1,1000,11,161,SNP,0,1
polio_testing_1,1100,11,313,SNP,0,3
polio_testing_1,1100,11,314,SNP,0,3
polio_testing_1,1100,11,315,SNP,0,3
polio_testing_1,1300,11,550,gap,3,0
polio_testing_1,1300,11,551,gap,3,0
polio_testing_1,1300,11,552,gap,3,0
polio_testing_1,1400,11,999,gap,1,0
polio_testing_2,100,11,924,gap,1,0
polio_testing_2,150,11,567,SNP,0,1
polio_testing_2,250,11,65,gap,2,0
polio_testing_2,250,11,135,gap,2,0
polio_testing_2,500,11,567,SNP,0,1
polio_testing_2,700,11,957,SNP,2,1
polio_testing_2,700,11,568,gap,2,1
polio_testing_2,700,11,956,gap,2,1
polio_testing_2,800,11,569,SNP,3,1
polio_testing_2,800,11,500,gap,3,1
polio_testing_2,800,11,566,gap,3,1
polio_testing_2,800,11,1001,gap,3,1
polio_testing_2,900,11,134,SNP,1,1
polio_testing_2,900,11,958,gap,1,1
polio_testing_2,1200,11,958,gap,1,0
polio_testing_2,1300,11,635,gap,2,0
polio_testing_2,1300,11,958,gap,2,0
polio_testing_2,1400,11,958,gap,1,0
polio_testing_2,1500,11,924,gap,2,0
polio_testing_2,1500,11,959,gap,2,0
polio_testing_3,100,11,567,SNP,0,1
polio_testing_3,150,11,394,gap,2,0
polio_testing_3,150,11,609,gap,2,0
polio_testing_3,300,11,999,gap,1,0
polio_testing_3,350,11,567,SNP,1,1
polio_testing_3,350,11,958,gap,1,1
polio_testing_3,400,11,1000,SNP,2,1
polio_testing_3,400,11,998,gap,2,1
polio_testing_3,400,11,999,gap,2,1
polio_testing_3,500,11,81,gap,2,0
polio_testing_3,500,11,999,gap,2,0
polio_testing_3,600,11,998,SNP,3,1
polio_testing_3,600,11,500,gap,3,1
polio_testing_3,600,11,995,gap,3,1
polio_testing_3,600,11,996,gap,3,1
polio_testing_3,700,11,567,SNP,0,1
polio_testing_3,800,11,162,gap,1,0
polio_testing_3,900,11,864,gap,1,0
polio_testing_3,1100,11,999,gap,1,0
polio_testing_3,1300,11,32,SNP,32,3
polio_testing_3,1300,11,33,SNP,32,3
polio_testing_3,1300,11,34,SNP,32,3
polio_testing_3,1300,11,0,gap,32,3
polio_testing_3,1300,11,1,gap,32,3
polio_testing_3,1300,11,2,gap,32,3
polio_testing_3,1300,11,3,gap,32,3
polio_testing_3,1300,11,4,gap,32,3
polio_testing_3,1300,11,5,gap,32,3
polio_testing_3,1300,11,6,gap,32,3
polio_testing_3,1300,11,7,gap,32,3
polio_testing_3,1300,11,8,gap,32,3
polio_testing_3,1300,11,9,gap,32,3
polio_testing_3,1300,11,10,gap,32,3
polio_testing_3,1300,11,11,gap,32,3
